package,ecosystem,installed_version,cve_id,osv_id,summary,severity,cvss_vector,published,modified,aliases,reference_url
django,PyPI,2.2.0,CVE-2022-28347,PYSEC-2022-191,,,,2022-04-12T05:15:00Z,2023-12-06T01:02:11.666037Z,BIT-django-2022-28347; CVE-2022-28347; GHSA-w24h-v9qh-8gxj,http://www.openwall.com/lists/oss-security/2022/04/11/1
django,PyPI,2.2.0,CVE-2021-45116,PYSEC-2022-2,,,,2022-01-05T00:15:00Z,2023-12-06T01:01:43.088680Z,BIT-django-2021-45116; CVE-2021-45116; GHSA-8c5j-9r9f-c6w8,https://docs.djangoproject.com/en/4.0/releases/security/
django,PyPI,2.2.0,CVE-2022-23833,PYSEC-2022-20,,,,2022-02-03T02:15:00Z,2023-12-06T01:02:02.697371Z,BIT-django-2022-23833; CVE-2022-23833; GHSA-6cw3-g6wv-c2xv,https://docs.djangoproject.com/en/4.0/releases/security/
django,PyPI,2.2.0,CVE-2021-45452,PYSEC-2022-3,,,,2022-01-05T00:15:00Z,2023-12-06T01:01:43.819827Z,BIT-django-2021-45452; CVE-2021-45452; GHSA-jrh2-hc4r-7jwx,https://docs.djangoproject.com/en/4.0/releases/security/
flask,PyPI,0.12.2,CVE-2018-1000656,GHSA-562c-5r94-xh97,Flask is vulnerable to Denial of Service via incorrect encoding of JSON data,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2018-08-23T19:10:40Z,2025-02-21T05:29:40.872529Z,CVE-2018-1000656; PYSEC-2018-66,https://nvd.nist.gov/vuln/detail/CVE-2018-1000656
flask,PyPI,0.12.2,CVE-2019-1010083,GHSA-5wv5-4vpf-pj6m,Pallets Project Flask is vulnerable to Denial of Service via Unexpected memory usage,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2019-07-19T16:12:46Z,2024-09-20T21:24:25.140560Z,CVE-2019-1010083; PYSEC-2019-179,https://nvd.nist.gov/vuln/detail/CVE-2019-1010083
flask,PyPI,0.12.2,CVE-2026-27205,GHSA-68rp-wp8r-4726,Flask session does not add `Vary: Cookie` header when accessed in some ways,LOW,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:P/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,2026-02-19T20:45:41Z,2026-02-23T23:43:45.778179Z,CVE-2026-27205,https://github.com/pallets/flask/security/advisories/GHSA-68rp-wp8r-4726
flask,PyPI,0.12.2,CVE-2023-30861,GHSA-m2qf-hxjv-5gpq,Flask vulnerable to possible disclosure of permanent session cookie due to missing Vary: Cookie header,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-05-01T19:22:20Z,2025-02-21T05:42:17.337040Z,CVE-2023-30861; PYSEC-2023-62,https://github.com/pallets/flask/security/advisories/GHSA-m2qf-hxjv-5gpq
flask,PyPI,0.12.2,CVE-2018-1000656,PYSEC-2018-66,,,,2018-08-20T19:31:00Z,2023-11-08T03:59:39.887416Z,CVE-2018-1000656; GHSA-562c-5r94-xh97,https://github.com/pallets/flask/releases/tag/0.12.3
flask,PyPI,0.12.2,CVE-2019-1010083,PYSEC-2019-179,,,,2019-07-17T14:15:00Z,2023-11-08T04:00:40.602062Z,CVE-2019-1010083; GHSA-5wv5-4vpf-pj6m,https://www.palletsprojects.com/blog/flask-1-0-released/
flask,PyPI,0.12.2,CVE-2023-30861,PYSEC-2023-62,,,,2023-05-02T18:15:00Z,2023-11-08T04:12:28.231927Z,CVE-2023-30861; GHSA-m2qf-hxjv-5gpq,https://github.com/pallets/flask/commit/70f906c51ce49c485f1d355703e9cc3386b1cc2b
jinja2,PyPI,2.10,CVE-2019-10906,GHSA-462w-v97r-4m45,Jinja2 sandbox escape via string formatting,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,2019-04-10T14:30:24Z,2024-09-24T21:03:59.802687Z,CVE-2019-10906; PYSEC-2019-217,https://nvd.nist.gov/vuln/detail/CVE-2019-10906
jinja2,PyPI,2.10,CVE-2025-27516,GHSA-cpwx-vrp4-4pq7,Jinja2 vulnerable to sandbox breakout through attr filter selecting format method,MODERATE,CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,2025-03-05T20:40:14Z,2026-02-04T04:14:58.595738Z,CVE-2025-27516,https://github.com/pallets/jinja/security/advisories/GHSA-cpwx-vrp4-4pq7
jinja2,PyPI,2.10,CVE-2020-28493,GHSA-g3rq-g295-4j3m,Regular Expression Denial of Service (ReDoS) in Jinja2,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,2021-03-19T21:28:05Z,2025-02-14T05:26:14.565160Z,CVE-2020-28493; PYSEC-2021-66; SNYK-PYTHON-JINJA2-1012994,https://nvd.nist.gov/vuln/detail/CVE-2020-28493
